Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
[2022-04-28 20:02:59 ()],104,3600.995417936546,249.50092922048904,0.63,4,2
[2022-04-28 20:03:08 ()],105,12132.516309488317,288.01704662179225,0.605,4,4
[2022-04-28 20:03:18 ()],106,13824.0,343.04119984183376,0.6,4,4
[2022-04-28 20:03:28 ()],107,6516.696095415223,304.83712031217726,0.65,4,3
[2022-04-28 20:03:38 ()],108,2629.0682760247973,252.29636365747982,0.59,4,2
[2022-04-28 20:03:48 ()],109,5050.660154870846,234.85961634383727,0.56,4,3
[2022-04-28 20:03:57 ()],110,4047.7154050155254,276.48767985910183,0.63,4,3
[2022-04-28 20:04:05 ()],111,4047.7154050155254,241.55881043811252,0.585,4,2
[2022-04-28 20:04:14 ()],112,3456.0,226.5126792193732,0.56,4,3
[2022-04-28 20:04:23 ()],113,4500.0,252.95688953868247,0.625,4,3
[2022-04-28 20:04:31 ()],114,4500.0,257.53395158236026,0.625,4,3
[2022-04-28 20:04:39 ()],115,2498.71647051041,240.07948237479087,0.635,4,3
[2022-04-28 20:04:48 ()],116,4232.718275529332,308.05411979008693,0.665,4,3
[2022-04-28 20:04:57 ()],117,4991.794867580197,286.99726869191437,0.635,4,2
[2022-04-28 20:05:06 ()],118,4047.7154050155254,292.3375041207787,0.62,4,2
[2022-04-28 20:05:15 ()],119,5656.85424949238,297.81678894959043,0.59,4,3
[2022-04-28 20:05:25 ()],120,3714.809281780156,288.9221109194477,0.565,4,3
[2022-04-28 20:05:34 ()],121,4669.807704820403,238.84713893989704,0.58,4,3
[2022-04-28 20:05:44 ()],122,3747.9637138051376,313.932872928651,0.66,4,3
[2022-04-28 20:05:52 ()],123,3747.9637138051376,254.4415373490108,0.625,4,3
[2022-04-28 20:06:01 ()],124,2896.309375740099,228.1754970908101,0.565,4,2
[2022-04-28 20:06:10 ()],125,2896.309375740099,336.61043400653574,0.72,4,2
[2022-04-28 20:06:19 ()],126,3172.0378307958435,304.4144201548668,0.675,4,2
[2022-04-28 20:06:28 ()],127,5656.85424949238,312.1003470076684,0.63,4,3
[2022-04-28 20:06:36 ()],128,5656.85424949238,364.85866711803214,0.705,4,3
[2022-04-28 20:06:46 ()],129,4047.7154050155254,349.36544646537317,0.68,4,3
[2022-04-28 20:06:56 ()],130,5656.85424949238,405.10420082574376,0.67,4,3
[2022-04-28 20:07:07 ()],131,3714.809281780156,372.0843805658554,0.66,4,3
[2022-04-28 20:07:16 ()],132,4829.906831399546,346.6308525418979,0.74,4,3
[2022-04-28 20:07:27 ()],133,6824.5404240871785,324.6637617353832,0.615,4,3
[2022-04-28 20:07:37 ()],134,8432.91835606156,353.18447106340517,0.645,4,3
[2022-04-28 20:07:47 ()],135,5050.660154870846,340.8054160240314,0.68,4,3
[2022-04-28 20:07:57 ()],136,6516.696095415223,328.60941099306694,0.63,4,3
[2022-04-28 20:08:07 ()],137,6705.050037098903,326.78172057587716,0.665,4,2
[2022-04-28 20:08:16 ()],138,13824.0,447.3932697219814,0.735,4,4
[2022-04-28 20:08:26 ()],139,4232.718275529332,311.3668609126524,0.64,4,3
[2022-04-28 20:08:35 ()],140,4772.682264722846,376.3670194303711,0.74,4,3
[2022-04-28 20:08:44 ()],141,25396.30965317599,469.6977489617412,0.69,4,4
[2022-04-28 20:08:54 ()],142,7137.085119290648,346.5850937829816,0.615,4,3
[2022-04-28 20:09:04 ()],143,14029.611541307906,493.8169206465493,0.715,5,5
[2022-04-28 20:09:14 ()],144,6516.696095415223,317.0575792884736,0.63,5,3
[2022-04-28 20:09:23 ()],145,6516.696095415223,318.19759826553565,0.655,5,3
[2022-04-28 20:09:31 ()],146,12132.516309488317,399.40419888772465,0.685,5,5
[2022-04-28 20:09:40 ()],147,7776.0,382.64969066115304,0.73,5,4
[2022-04-28 20:09:49 ()],148,8102.239690357228,383.586984253131,0.715,5,3
[2022-04-28 20:09:58 ()],149,4047.7154050155254,328.1440482941923,0.705,5,3
[2022-04-28 20:10:07 ()],150,5333.834643106215,385.5374955592527,0.72,5,3
[2022-04-28 20:10:16 ()],151,6604.1053898313885,306.1825227505935,0.635,5,4
[2022-04-28 20:10:25 ()],152,4232.718275529332,432.4376060808452,0.71,5,3
[2022-04-28 20:10:35 ()],153,5724.334022399462,319.040274244559,0.63,5,4
[2022-04-28 20:10:44 ()],154,4500.0,315.00667004864454,0.7,5,3
[2022-04-28 20:10:53 ()],155,5622.112058648423,298.7308683636748,0.585,5,3
[2022-04-28 20:11:02 ()],156,3172.0378307958435,308.9141689974972,0.665,5,2
[2022-04-28 20:11:11 ()],157,6516.696095415223,372.68328604990455,0.675,5,3
[2022-04-28 20:11:20 ()],158,3747.9637138051376,289.0838427997959,0.65,5,3
[2022-04-28 20:11:30 ()],159,6516.696095415223,360.9993815119983,0.635,5,3
[2022-04-28 20:11:39 ()],160,13824.0,406.0938825324188,0.705,5,4
[2022-04-28 20:11:48 ()],161,4669.807704820403,266.2609101651308,0.56,5,2
[2022-04-28 20:11:58 ()],162,5656.85424949238,388.4108355129039,0.67,5,3
[2022-04-28 20:12:08 ()],163,11585.237502960395,573.9878713169014,0.82,5,4
[2022-04-28 20:12:18 ()],164,6516.696095415223,392.8496168267123,0.69,5,3
[2022-04-28 20:12:28 ()],165,8432.91835606156,559.4681340507597,0.785,5,3
[2022-04-28 20:12:38 ()],166,11585.237502960395,552.0748283334042,0.75,5,4
[2022-04-28 20:12:47 ()],167,7524.832489829923,496.37096660384225,0.725,5,4
[2022-04-28 20:12:57 ()],168,6516.696095415223,503.98083929194587,0.785,5,3
[2022-04-28 20:13:07 ()],169,12132.516309488317,667.6030103250728,0.805,5,4
[2022-04-28 20:13:17 ()],170,16731.28805561604,689.0485896242546,0.835,5,4
[2022-04-28 20:13:28 ()],171,12132.516309488317,567.6124700379759,0.715,5,4
[2022-04-28 20:13:38 ()],172,8432.91835606156,595.2644973436471,0.825,5,3
[2022-04-28 20:13:48 ()],173,19743.070885756348,670.5874077467555,0.805,5,4
[2022-04-28 20:13:59 ()],174,11585.237502960395,676.1189080803638,0.785,5,4
[2022-04-28 20:14:08 ()],175,8432.91835606156,521.2589066285095,0.715,5,3
[2022-04-28 20:14:18 ()],176,7776.0,586.3662415504843,0.825,5,4
[2022-04-28 20:14:28 ()],177,12688.151323183374,682.2576502657344,0.84,5,4
[2022-04-28 20:14:39 ()],178,7137.085119290648,696.5917241357891,0.8,5,3
[2022-04-28 20:14:49 ()],179,24355.49219375375,625.6598294560674,0.78,5,5
[2022-04-28 20:14:59 ()],180,5915.403621055794,423.33155756599234,0.695,5,3
[2022-04-28 20:15:09 ()],181,8971.877841344029,544.6643647154452,0.725,5,3
[2022-04-28 20:15:20 ()],182,13111.662594804673,568.873293678891,0.765,5,3
[2022-04-28 20:15:30 ()],183,10507.067335845906,727.0790668507093,0.885,5,3
[2022-04-28 20:15:40 ()],184,9482.372698855492,585.2121771326151,0.83,5,4
[2022-04-28 20:15:50 ()],185,7524.832489829923,543.7511488258986,0.82,5,4
[2022-04-28 20:16:00 ()],186,7776.0,577.2963915571286,0.77,5,3
[2022-04-28 20:16:10 ()],187,12132.516309488317,725.672889639205,0.82,5,4
[2022-04-28 20:16:19 ()],188,21600.0,868.5508544838056,0.83,5,5
[2022-04-28 20:16:29 ()],189,9451.011374450885,809.8319511160744,0.9,5,3
[2022-04-28 20:16:39 ()],190,9107.359661284932,697.2733650451049,0.895,5,3
[2022-04-28 20:16:50 ()],191,35071.908759005404,743.4651138729336,0.825,6,6
[2022-04-28 20:17:00 ()],192,19967.17947032079,650.6425693228182,0.795,6,4
[2022-04-28 20:17:10 ()],193,11599.767583878567,643.4807635219564,0.755,6,3
[2022-04-28 20:17:20 ()],194,6516.696095415223,675.4203038115841,0.835,6,3
[2022-04-28 20:17:30 ()],195,9107.359661284932,654.2774674549897,0.82,6,3
[2022-04-28 20:17:41 ()],196,11585.237502960395,783.4775627508106,0.76,6,4
[2022-04-28 20:17:50 ()],197,23424.77321128211,657.4168986663029,0.815,6,5
[2022-04-28 20:18:01 ()],198,8767.977189751351,540.7273340937858,0.76,6,4
[2022-04-28 20:18:11 ()],199,8432.91835606156,618.189393450387,0.795,6,4
[2022-04-28 20:18:22 ()],200,7524.832489829923,588.3690891072528,0.77,6,4
